rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,1.9622776464639968,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True
2,cf_49398dcbba5447,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.9231472116813881,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True
3,cf_ba8421601b1980,Issue date,Authorization for hospital admission / Components / Issue date,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.812277646463997,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True
4,cf_22f759c45e42f4,Admit date/time,Patient admission / Tree / Admit date/time,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.812277646463997,1.0,temporal,DV_DATE_TIME,admit date time,True,True,True,True,True,True,True
5,cf_2db2fd852fb674,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.812277646463997,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True
6,cf_79ed78f34fef6f,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.7747776464639968,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True
7,cf_9449e602105d68,Universal ID,Patient admission / Tree / Assigned patient location / Facility / Universal ID,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.5872776464639968,1.0,coded,DV_CODED_TEXT,universal id,True,True,True,True,True,True,True
8,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.hospitalisation.v1,1.5872776464639968,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True
9,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.408431492617843,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True
10,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.3911238003101507,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True
