rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_flattened_topk,selected_by_frequency_only,selected_by_no_pruning,selected_by_aqf_topk_no_threshold,selected_by_no_operator_awareness,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10,selected_by_random_topk_11,selected_by_random_topk_12,selected_by_random_topk_13,selected_by_random_topk_14,selected_by_random_topk_15,selected_by_random_topk_16,selected_by_random_topk_17,selected_by_random_topk_18,selected_by_random_topk_19,selected_by_random_topk_20,selected_by_random_topk_21,selected_by_random_topk_22,selected_by_random_topk_23,selected_by_random_topk_24,selected_by_random_topk_25,selected_by_random_topk_26,selected_by_random_topk_27,selected_by_random_topk_28,selected_by_random_topk_29,selected_by_random_topk_30
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,1.0,1.0,temporal,DV_DATE,birth date,True,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True
2,cf_49398dcbba5447,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.98125,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,True
3,cf_ba8421601b1980,Issue date,Authorization for hospital admission / Components / Issue date,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.9624999999999999,1.0,temporal,DV_DATE,,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True
4,cf_22f759c45e42f4,Admit date/time,Patient admission / Tree / Admit date/time,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.9624999999999999,1.0,temporal,DV_DATE_TIME,,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False
5,cf_2db2fd852fb674,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.9624999999999999,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True
6,cf_79ed78f34fef6f,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.953125,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,True,False
7,cf_9449e602105d68,Universal ID,Patient admission / Tree / Assigned patient location / Facility / Universal ID,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.90625,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False
8,cf_18704e514938d4,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.hospitalisation.v1,0.90625,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False
9,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8615384615384616,1.0,temporal,DV_DATE,,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False
10,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8572115384615384,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
